task_id,sample_id,pcpn_accepts,compiler_passes,mutation_type,error_category,is_emitter_failure
bench_typeonly_borrow_kind_01_pos_2,positive,True,True,none,pass,False
bench_typeonly_cap_trap_01_pos_0,positive,True,True,none,pass,False
bench_typeonly_cap_trap_01_pos_1,positive,True,True,none,pass,False
bench_typeonly_cap_trap_01_pos_2,positive,True,True,none,pass,False
bench_typeonly_dead_provider_01_pos_0,positive,True,True,none,pass,False
bench_typeonly_dead_provider_01_pos_1,positive,True,True,none,pass,False
bench_typeonly_dead_provider_01_pos_2,positive,True,True,none,pass,False
bench_assoc_type_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_assoc_type_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_cap_alias_diff_cap_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_cap_alias_diff_cap_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_cap_copy_reuse_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_cap_copy_reuse_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_cap_freeze_unfreeze_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_cap_freeze_unfreeze_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_cap_move_vs_copy_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_cap_move_vs_copy_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_cap_own_frz_blk_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_cap_own_frz_blk_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_copy_clone_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_copy_clone_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_ctor_chain_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_ctor_chain_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_drop_unfreeze_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_drop_unfreeze_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_lifetime_nest_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_lifetime_nest_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_mixed_ambig_provider_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_mixed_ambig_provider_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_mixed_ctor_borrow_proj_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_mixed_ctor_borrow_proj_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_mixed_long_chain_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_mixed_long_chain_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_move_copy_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_move_copy_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_multi_borrow_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_multi_borrow_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_mut_borrow_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_mut_borrow_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_mut_reborrow_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_mut_reborrow_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_obl_assoc_decides_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_obl_assoc_decides_01,neg_swap_borrow_kind,False,False,swap_borrow_kind,mutation_caught,False
bench_obl_assoc_decides_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_obl_distractor_shape_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_obl_distractor_shape_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_obl_generic_method_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_obl_generic_method_01,neg_swap_borrow_kind,False,False,swap_borrow_kind,mutation_caught,False
bench_obl_generic_method_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_obl_trait_gate_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_obl_trait_gate_01,neg_swap_borrow_kind,False,False,swap_borrow_kind,mutation_caught,False
bench_obl_trait_gate_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_proj_move_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_proj_move_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_shared_borrow_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_shared_borrow_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_shr_from_mut_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_shr_from_mut_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_stack_discharge_order_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_stack_discharge_order_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_stack_last_reader_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_stack_last_reader_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_stack_nested_scope_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_stack_nested_scope_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_stack_reborrow_depth_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_stack_reborrow_depth_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_stack_shr_then_mut_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_stack_shr_then_mut_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_trait_bound_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_trait_bound_01,neg_reuse_moved,False,False,reuse_moved,mutation_caught,False
bench_tuple_flow_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_tuple_flow_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_typeonly_borrow_kind_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_typeonly_borrow_kind_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_typeonly_cap_trap_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_typeonly_cap_trap_01,neg_reuse_moved,False,True,reuse_moved,pass,False
bench_typeonly_dead_provider_01,neg_delete_drop,False,True,delete_drop,pass,False
bench_typeonly_dead_provider_01,neg_reuse_moved,False,True,reuse_moved,pass,False
